orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	actualenddate	boardactdate	dqpccode	dqpc	dqpcnote	testdate	revstatus	comments	units	programamt	actualamt	programtype	reviewtype
P010801373	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	47	Medium /Long Term External Debt		12.31.2002	M		US$ (billions)	0.45	0.15	P1	R3
P010801374	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	47	Medium /Long Term External Debt		06.30.2003	M		US$ (billions)	0.25	0.156	P1	R3
P010801375	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	47	Medium /Long Term External Debt		09.30.2003	M		US$ (billions)	0.35	0.171	P1	R3
P010801376	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	47	Medium /Long Term External Debt		12.31.2003	M		US$ (billions)	0.45	0.207	P1	R3
P010801377	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	47	Medium /Long Term External Debt		03.31.2004	M		US$ (billions)	0.1	0.041	P1	R3
P010801378	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	74	Medium/Long term External Debt Subceiling		09.30.2002	M		US$ (billions)	0	0	P1	R3
P010801379	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	74	Medium/Long term External Debt Subceiling		12.31.2002	M		US$ (billions)	0	0	P1	R3
P010801380	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	74	Medium/Long term External Debt Subceiling		06.30.2003	M		US$ (billions)	0	0	P1	R3
P010801381	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	74	Medium/Long term External Debt Subceiling		09.30.2003	M		US$ (billions)	0	0	P1	R3
P010801382	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	74	Medium/Long term External Debt Subceiling		12.31.2003	M		US$ (billions)	0	0	P1	R3
P010801383	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	74	Medium/Long term External Debt Subceiling		03.31.2004	M		US$ (billions)	0	0	P1	R3
P010801384	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	84	Short term Debt		09.30.2002	M		US$ (billions)	0.03	0	P1	R3
P010801385	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	84	Short term Debt		12.31.2002	M		US$ (billions)	0.03	0	P1	R3
P010801386	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	84	Short term Debt		06.30.2003	M		US$ (billions)	0.03	0	P1	R3
P010801387	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	84	Short term Debt		09.30.2003	M		US$ (billions)	0.03	0	P1	R3
P010801388	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	84	Short term Debt		12.31.2003	M		US$ (billions)	0.03	0	P1	R3
P010801389	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	84	Short term Debt		03.31.2004	M		US$ (billions)	0.025	0	P1	R3
P010801390	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	107	No New arrears/default(continuous injunction)		Continuous	PC	No new external payment arrears qpc introduced at P1R2.	US$ (billions)	0		P1	R3
P010801391	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	107	No New arrears/default(continuous injunction)		03.31.2004	M		US$ (billions)	0	0	P1	R3
P010801392	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	135	Fiscal deficit		09.30.2002	NM		NC (billions)	0.24	0.27	P1	R3
P010801393	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	135	Fiscal deficit		12.31.2002	NM		NC (billions)	0.29	0.33	P1	R3
P010801394	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	135	Fiscal deficit		06.30.2003	M		NC (billions)	0	-0.062	P1	R3
P010801395	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	135	Fiscal deficit		09.30.2003	M		NC (billions)	0.1	0.044	P1	R3
P010801396	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	135	Fiscal deficit		12.31.2003	M		NC (billions)	0.18	0.073	P1	R3
P010801397	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	135	Fiscal deficit		03.31.2004	M		NC (billions)	0.14	-0.137	P1	R3
P010801398	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	1	Total domestic credit		12.31.2003	M		NC (billions)	-4.351	-2.707	P1	R3
P010801399	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	1	Total domestic credit		06.30.2004	M		NC (billions)	-19.615	-2.155	P1	R3
P010801400	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	1	Total domestic credit		03.31.2005	W	At P1R1, coverage changed from net domestic assets of the CBK to reserve money of the CBK.	NC (billions)	3.022	5.12	P1	R3
P010801401	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	1	Total domestic credit		06.30.2007	W		NC (billions)	15.397	18.791	P1	R3
P010801402	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	16	Credit to Government/public sector		12.31.2003	M		NC (billions)	12.223	2.555	P1	R3
P010801403	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	16	Credit to Government/public sector		06.30.2004	M		NC (billions)	19.814	6.309	P1	R3
P010801404	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	16	Credit to Government/public sector		03.31.2005	M	Quantitative PC based on end March 2005 test date. Review completed on April 11, 2007.	NC (billions)	27.252	9.481	P1	R3
P010801405	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	16	Credit to Government/public sector		06.30.2007	M		NC (billions)	29.507	34.661	P1	R3
P010801406	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	32	BOP/Reserve Test		12.31.2003	M	Using 78.95 Kenya shillings per US$ for conversion.	US$ (billions)	0.030792	0.0927	P1	R3
P010801407	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	32	BOP/Reserve Test		06.30.2004	M	Using 78.95 Kenya shillings per US$ for conversion.	US$ (billions)	0.18966	0.06589	P1	R3
P010801408	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	32	BOP/Reserve Test		03.31.2005	M	Program exchange rate (KS per US$) equals 78.95	US$ (billions)	-0.02803	-0.07227	P1	R3
P010801409	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	32	BOP/Reserve Test		06.30.2007	M	Program exchange rate (KS per US$) equals 73.88 (as of June 2006).	US$(billions)	0.21919	0.207052	P1	R3
P010801410	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	47	Medium /Long Term External Debt		Continuous	PC		NC (billions)	0		P1	R3
P010801411	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	47	Medium /Long Term External Debt		06.30.2004	M	Met for P1R1.	NC (billions)	0	0	P1	R3
P010801412	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	47	Medium /Long Term External Debt		03.31.2005	M	Met at P1R2.	NC (billions)	0	0	P1	R3
P010801413	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	47	Medium /Long Term External Debt		06.30.2007	M	Met for P1R3.	NC (billions)	0.15	0.15	P1	R3
P010801414	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	84	Short term Debt		12.31.2003	W	Financing contracts for two security-related procurements whose value totaled Euro 72 million were signed on December 4 and December 17, 2003, respectively. One of the contracts was cancelled, and the other suspended, by June 30, 2004. Using 78.95 Kenya shillings per US$ for conversion. Waived at P1R1. Waived at P1R1.	US$ (billions)	0	0.09373	P1	R3
P010801415	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	84	Short term Debt		03.31.2005	M	Met at P1R2.	US$ (billions)	0	0	P1	R3
P010801416	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	84	Short term Debt		06.30.2007	M	Met for P1R3.	US$(billions)	0	0	P1	R3
P010801417	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	84	Short term Debt		Continuous	PC		US$(billions)	0		P1	R3
P010801418	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	107	No New arrears/default(continuous injunction)		Continuous	PC		US$ (billions)	0		P1	R3
P010801419	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	107	No New arrears/default(continuous injunction)		06.30.2004	W	Waived at P1R1.	US$ (billions)	0	0.011298	P1	R3
P010801420	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	107	No New arrears/default(continuous injunction)		03.31.2005	W	At P1R2, the March 2005 observation was not met because arrears of KSh 13.1 million to a bilateral Paris Club creditor were incurred on January 1, 2005. These arrears were cleared on January 10, 2005 and accordingly zero is shown for the end-March test date. Waived at P1R2.	US$(billions)	0	0	P1	R3
P010801421	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	107	No New arrears/default(continuous injunction)		06.30.2007	M	At P1R3, Kenya accummulated two types of arrears that are excluded for program purposes. Arrears on commercial loan/suppliers credit for security related contracts are the subject of dispute due to governence concerns related to fraudulent procurement. A small arrear of US$7 m accumulated due to billing error was paid in January 2006. Arrears of US$223.00 was accumulated during the third review, and a waiver was granted.	US$(billions)	0	0.223	P1	R3
P010801422	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	149	Domestic Arrears		Continuous	PC		NC (billions)	0		P1	R3
P010801423	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	149	Domestic Arrears		06.30.2004	M	Met for P1R1.	NC (billions)	0	0	P1	R3
P010801424	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	149	Domestic Arrears		03.31.2005	M	Met for P1R2.	NC (billions)	0	0	P1	R3
P010801425	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	149	Domestic Arrears		06.30.2007	M	Met for P1R3.	NC (billions)	0	0	P1	R3
P010801426	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	7.5	Wages	Ceiling on central government wages and salaries	06.30.2004	M		NC (billions)	93.38	95.85	P1	R3
P010801427	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	7.5	Wages	Ceiling on central government wages and salaries	03.31.2005	M		NC (billions)	78.096	77.315	P1	R3
P010801428	performance	524	kenya	PRGF	21.11.2003	20.11.2006	20.11.2007	16.11.2007	7.5	Wages	Ceiling on central government wages and salaries	12.31.2003	M		NC (billions)	44.326	43.722	P1	R3
P010801429	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	1	Total domestic credit		06.30.2005	M		NC (billions)	-0.962	-1.486	P1	R6
P010801430	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	1	Total domestic credit		12.31.2005	M		NC (billions)	-0.985	-1.943	P1	R6
P010801431	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	1	Total domestic credit		06.30.2006	M	Targets adjusted for the nondisbursement of the EU food security grant ($4.8 million in Q1), the ADB grant ($7.8 million in Q2), and the EU health sector SWAP grant ($4.0 million in Q2).	NC (billions)	-1.2	-1.756	P1	R6
P010801432	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	1	Total domestic credit		12.31.2006	M	EBS/05/145 (R1) lists December 31, 2006 as benchmark test date. Subsequently, in EBS/06/60 (R2), December 2006 changed to pc test date.	NC (billions)	-1.397	-2.559	P1	R6
P010801433	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	1	Total domestic credit		06.30.2007	M		NC (billions)	-1.465	-3.83	P1	R6
P010801434	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	1	Total domestic credit		12.31.2007	M		NC (billions)	-1.769	-4.617	P1	R6
P010801435	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	32	BOP/Reserve Test		12.31.2005	M		US$ (billions)	0.34	0.416	P1	R6
P010801436	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	32	BOP/Reserve Test		06.30.2005	M		US$ (billions)	0.333	0.326	P1	R6
P010801437	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	32	BOP/Reserve Test		06.30.2006	M	Targets adjusted for the nondisbursement of the EU food security grant ($4.8 million in Q1), the ADB grant ($7.8 million in Q2), and the EU health sector SWAP grant ($4.0 million in Q2).	US$ (billions)	0.361	0.452	P1	R6
P010801438	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	32	BOP/Reserve Test		12.31.2006	M	EBS/05/145 (R1) lists December 31, 2006 as benchmark test date. Subsequently, in EBS/06/60 (R2), December 2006 changed to pc test date.	US$(billions)	0.393	0.606	P1	R6
P010801439	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	32	BOP/Reserve Test		06.30.2007	M		US$(billions)	0.594	0.764	P1	R6
P010801440	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	32	BOP/Reserve Test		12.31.2007	M		US$(billions)	0.787	0.961	P1	R6
P010801441	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	47	Medium /Long Term External Debt		06.30.2005	M		US$ (billions)	0	0	P1	R6
P010801442	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	47	Medium /Long Term External Debt		12.31.2005	M		US$ (billions)	0	0	P1	R6
P010801443	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	47	Medium /Long Term External Debt		06.30.2006	M		US$ (billions)	0	0	P1	R6
P010801444	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	47	Medium /Long Term External Debt		12.31.2006	M	EBS/05/145 (R1) lists December 31, 2006 as benchmark test date. Subsequently, in EBS/06/60 (R2), December 2006 changed to pc test date. Met for P1R4.	US$(billions)	0	0	P1	R6
P010801445	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	47	Medium /Long Term External Debt		06.30.2007	M		US$(billions)	0	0	P1	R6
P010801446	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	47	Medium /Long Term External Debt		12.31.2007	M		US$(billions)	0	0	P1	R6
P010801447	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R6
P010801448	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	84	Short term Debt		12.31.2005	M	Met for P1R2.	US$(billions)	0	0	P1	R6
P010801449	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	84	Short term Debt		06.30.2005	M	Met for P1R1.	US$(billions)	0	0	P1	R6
P010801450	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	84	Short term Debt		06.30.2006	M	Met for P1R3.	US$(billions)	0	0	P1	R6
P010801451	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	84	Short term Debt		12.31.2006	M	Met for P1R4.	US$(billions)	0	0	P1	R6
P010801452	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	84	Short term Debt		06.30.2007	M	Met for P1R5.	US$(billions)	0	0	P1	R6
P010801453	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	84	Short term Debt		12.31.2007	M	Met for P1R6.	US$(billions)	0	0	P1	R6
P010801454	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	107	No New arrears/default(continuous injunction)		Continuous	PC		US$ (billions)	0		P1	R6
P010801455	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	107	No New arrears/default(continuous injunction)		12.31.2005	M	Met for P1R2.	US$(billions)	0	0	P1	R6
P010801456	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	107	No New arrears/default(continuous injunction)		06.30.2005	M	Met for P1R1.	US$(billions)	0	0	P1	R6
P010801457	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	107	No New arrears/default(continuous injunction)		06.30.2006	M	Met for P1R3.	US$(billions)	0	0	P1	R6
P010801458	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	107	No New arrears/default(continuous injunction)		12.31.2006	M	Met for P1R4.	US$(billions)	0	0	P1	R6
P010801459	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	107	No New arrears/default(continuous injunction)		06.30.2007	M	Met for P1R5.	US$(billions)	0	0	P1	R6
P010801460	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	107	No New arrears/default(continuous injunction)		12.31.2007	M	Met for P1R6.	US$(billions)	0	0	P1	R6
P010801461	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	135	Fiscal deficit		12.31.2005	M		NC (billions)	3.028	2.809	P1	R6
P010801462	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	135	Fiscal deficit		06.30.2005	M		NC (billions)	1.529	0.881	P1	R6
P010801463	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	135	Fiscal deficit		06.30.2006	M		NC (billions)	1.377	0.14	P1	R6
P010801464	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	135	Fiscal deficit		12.31.2006	M	EBS/05/145 (R1) lists December 31, 2006 as benchmark test date. Subsequently, in EBS/06/60 (R2), December 2006 changed to pc test date. Between 6/05 and 12/06, definition was primary deficit of general government. After 12/06, definition listed as overall deficit of general government. 	NC (billions)	3.234	2.459	P1	R6
P010801465	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	135	Fiscal deficit		06.30.2007	M	At P1R4, fiscal deficit definition, ceiling on cumulative primary deficit of the general government, changed to ceiling on cumulative overall deficit of the general government. At P1R6, actual amount revised from -0.962 (NCU billion) to -.832 (NCU billion).	NC (billions)	1.13	-0.832	P1	R6
P010801466	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	135	Fiscal deficit		12.31.2007	M		NC (billions)	3.937	0.999	P1	R6
P010801467	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	149	Domestic Arrears		06.30.2005	M		NC (billions)	0	0	P1	R6
P010801468	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	149	Domestic Arrears		12.31.2005	M		NC (billions)	0	0	P1	R6
P010801469	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	149	Domestic Arrears		06.30.2006	M		NC (billions)	0	0	P1	R6
P010801470	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	149	Domestic Arrears		12.31.2006	M	EBS/05/145 (R1) lists December 31, 2006 as benchmark test date. Subsequently, in EBS/06/60 (R2), December 2006 changed to pc test date. Met for P1R4.	NC (billions)	0	0	P1	R6
P010801471	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	149	Domestic Arrears		06.30.2007	M		NC (billions)	0	0	P1	R6
P010801472	performance	554	kyrgyz republic	PRGF	23.02.2005	14.03.2008	31.05.2008	21.05.2008	149	Domestic Arrears		12.31.2007	M		NC (billions)	0	0	P1	R6
